,number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
27,27,0.8188405852495106,2020-11-28 22:55:38.196631,2020-11-29 02:42:09.970786,0 days 03:46:31.774155,0.95,0.36,5.0,0.247040540454363,15.0,4.0,307.0,3.0,3.0,0.81,COMPLETE
28,28,0.824310099681996,2020-11-28 23:05:12.176142,2020-11-29 04:58:19.659420,0 days 05:53:07.483278,0.65,0.64,3.0,0.023806246255613856,7.0,2.0,589.0,4.0,3.0,0.65,COMPLETE
29,29,0.81844843138454,2020-11-28 23:45:50.450463,2020-11-29 01:12:59.652683,0 days 01:27:09.202220,0.49,0.42000000000000004,4.0,0.024788734128729163,3.0,4.0,507.0,3.0,2.0,0.56,COMPLETE
30,30,0.8254827391144814,2020-11-28 23:56:58.833899,2020-11-29 02:49:43.043640,0 days 02:52:44.209741,0.66,0.18,4.0,0.043383208205927525,16.0,4.0,385.0,1.0,3.0,0.8400000000000001,COMPLETE
31,31,0.8200067270058709,2020-11-29 00:21:32.515286,2020-11-29 04:29:41.640186,0 days 04:08:09.124900,0.97,0.75,4.0,0.1480723257602481,13.0,3.0,313.0,5.0,2.0,0.59,COMPLETE
32,32,0.8286100324119374,2020-11-29 00:41:07.093679,2020-11-29 05:15:28.007964,0 days 04:34:20.914285,0.30000000000000004,0.53,0.0,0.022697282976441586,19.0,4.0,725.0,2.0,4.0,0.6,COMPLETE
33,33,0.8237245443982386,2020-11-29 00:47:37.415195,2020-11-29 03:37:28.124407,0 days 02:49:50.709212,0.12000000000000001,0.42000000000000004,5.0,0.429930356951413,8.0,1.0,649.0,3.0,5.0,0.96,COMPLETE
34,34,0.8260698232632094,2020-11-29 00:56:21.892995,2020-11-29 14:55:24.225623,0 days 13:59:02.332628,0.96,0.96,0.0,0.0060313160056361175,9.0,5.0,919.0,5.0,3.0,0.78,COMPLETE
35,35,,2020-11-29 00:58:51.405827,,,,,,,,,,,,,RUNNING
36,36,0.824505412181996,2020-11-29 01:00:41.444137,2020-11-29 07:05:43.419133,0 days 06:05:01.974996,0.8,0.55,3.0,0.0657786182213006,10.0,2.0,485.0,2.0,5.0,0.6799999999999999,COMPLETE
37,37,0.7975366163160469,2020-11-29 01:09:55.651742,2020-11-29 02:02:26.781845,0 days 00:52:31.130103,0.33999999999999997,0.24000000000000002,5.0,0.006585787405511032,15.0,3.0,167.0,5.0,2.0,0.59,COMPLETE
38,38,0.8284147199119374,2020-11-29 01:13:09.258390,2020-11-29 16:58:44.068218,0 days 15:45:34.809828,0.8099999999999999,0.7,1.0,0.006175613939862293,22.0,5.0,893.0,2.0,3.0,0.8500000000000001,COMPLETE
39,39,0.824308953033268,2020-11-29 01:15:52.850057,2020-11-29 02:59:07.938972,0 days 01:43:15.088915,0.44000000000000006,0.39,0.0,0.019441277033174862,9.0,3.0,199.0,2.0,2.0,0.95,COMPLETE
40,40,0.8266592007093934,2020-11-29 01:18:39.698668,2020-11-29 04:35:48.194763,0 days 03:17:08.496095,0.83,0.4,4.0,0.0880544312550124,14.0,3.0,291.0,1.0,0.0,0.74,COMPLETE
41,41,0.8264608304794521,2020-11-29 01:40:10.031079,2020-11-29 02:42:38.240086,0 days 01:02:28.209007,0.21000000000000002,0.9,1.0,0.04651455312247326,3.0,2.0,371.0,0.0,5.0,0.72,COMPLETE
42,42,0.8223531525195694,2020-11-29 02:02:27.701039,2020-11-29 06:38:30.282314,0 days 04:36:02.581275,0.28,0.98,5.0,0.06651271509936603,20.0,5.0,373.0,3.0,3.0,0.91,COMPLETE
43,43,0.8280240949119374,2020-11-29 02:15:29.305723,2020-11-29 06:04:13.748372,0 days 03:48:44.442649,0.7,0.98,0.0,0.14472184718844688,17.0,1.0,391.0,4.0,4.0,0.72,COMPLETE
44,44,0.8284158665606653,2020-11-29 02:42:10.643894,2020-11-29 06:07:45.546200,0 days 03:25:34.902306,0.7,0.78,0.0,0.1578443827786025,9.0,1.0,411.0,1.0,4.0,0.72,COMPLETE
45,45,0.8274393040606653,2020-11-29 02:42:38.691705,2020-11-29 06:00:42.219647,0 days 03:18:03.527942,0.71,0.97,0.0,0.1242481965731881,8.0,1.0,400.0,4.0,4.0,0.72,COMPLETE
46,46,0.8282174963307242,2020-11-29 02:49:43.914016,2020-11-29 07:21:10.725039,0 days 04:31:26.811023,0.75,0.97,0.0,0.14050150224155314,19.0,1.0,397.0,1.0,4.0,0.72,COMPLETE
47,47,0.8290037151418786,2020-11-29 02:59:08.650955,2020-11-29 08:06:41.169061,0 days 05:07:32.518106,0.76,1.0,0.0,0.1175930588808595,18.0,1.0,405.0,1.0,4.0,0.75,COMPLETE
48,48,0.8311525348581214,2020-11-29 03:12:34.902821,2020-11-29 08:13:40.345854,0 days 05:01:05.443033,0.72,0.99,0.0,0.13359412892727443,18.0,1.0,442.0,1.0,4.0,0.73,COMPLETE
49,49,0.829785729574364,2020-11-29 03:37:28.708961,2020-11-29 07:59:18.088007,0 days 04:21:49.379046,0.72,0.96,0.0,0.13959144402590054,20.0,2.0,448.0,1.0,4.0,0.72,COMPLETE
50,50,0.8272424626956948,2020-11-29 03:44:12.210134,2020-11-29 09:31:22.240058,0 days 05:47:10.029924,0.62,1.0,0.0,0.12243626739695966,19.0,2.0,703.0,1.0,4.0,0.72,COMPLETE
51,51,0.8305650684931507,2020-11-29 03:56:34.433201,2020-11-29 06:49:05.517033,0 days 02:52:31.083832,0.26,1.0,0.0,0.1285704875660962,18.0,2.0,432.0,1.0,4.0,0.72,COMPLETE
52,52,0.831152917074364,2020-11-29 04:29:42.463747,2020-11-29 07:47:17.470761,0 days 03:17:35.007014,0.30000000000000004,0.96,0.0,0.11067074200289896,19.0,2.0,433.0,1.0,4.0,0.71,COMPLETE
53,53,,2020-11-29 04:35:49.751546,,,,,,,,,,,,,RUNNING
54,54,0.8239206213307242,2020-11-29 04:58:20.884932,2020-11-29 13:08:44.855612,0 days 08:10:23.970680,0.8099999999999999,1.0,2.0,0.1220067558804744,18.0,2.0,429.0,1.0,4.0,0.74,COMPLETE
55,55,0.8290014218444227,2020-11-29 05:15:29.819920,2020-11-29 11:06:24.767900,0 days 05:50:54.947980,0.82,0.98,0.0,0.12053232058934445,20.0,3.0,728.0,1.0,4.0,0.74,COMPLETE
56,56,0.8290014218444227,2020-11-29 05:16:59.621472,2020-11-29 09:27:28.297892,0 days 04:10:28.676420,0.29000000000000004,0.97,0.0,0.12425137101365478,19.0,3.0,691.0,1.0,4.0,0.73,COMPLETE
57,57,0.8288049626956948,2020-11-29 05:17:37.287815,2020-11-29 09:36:36.514566,0 days 04:18:59.226751,0.30000000000000004,0.82,0.0,0.10540320202231764,19.0,3.0,716.0,1.0,4.0,0.73,COMPLETE
58,58,0.8293943401418786,2020-11-29 06:00:44.424115,2020-11-29 11:41:52.876104,0 days 05:41:08.451989,0.6,1.0,0.0,0.1512663063425822,19.0,0.0,426.0,1.0,4.0,0.72,COMPLETE
59,59,0.8291978809931507,2020-11-29 06:04:15.555063,2020-11-29 11:40:11.257588,0 days 05:35:55.702525,0.59,0.95,0.0,0.17441521905954277,19.0,0.0,683.0,1.0,4.0,0.7,COMPLETE
60,60,,2020-11-29 06:07:45.865849,,,,,,,,,,,,,RUNNING
61,61,,2020-11-29 06:38:31.345021,,,,,,,,,,,,,RUNNING
62,62,,2020-11-29 06:49:06.440584,,,,,,,,,,,,,RUNNING
63,63,,2020-11-29 07:05:44.354098,,,,,,,,,,,,,RUNNING
64,64,0.8254850324119374,2020-11-29 07:13:32.980303,2020-11-29 12:18:39.907341,0 days 05:05:06.927038,0.6,0.8,0.0,0.1932985586047533,18.0,0.0,750.0,1.0,4.0,0.76,COMPLETE
65,65,,2020-11-29 07:21:11.354926,,,,,,,,,,,,,RUNNING
66,66,,2020-11-29 07:47:18.752791,,,,,,,,,,,,,RUNNING
67,67,0.8288061093444228,2020-11-29 07:59:18.812632,2020-11-29 11:30:05.508471,0 days 03:30:46.695839,0.61,0.79,0.0,0.19304802872747656,18.0,2.0,446.0,1.0,4.0,0.78,COMPLETE
68,68,0.8286111790606654,2020-11-29 08:06:41.641917,2020-11-29 11:30:28.138644,0 days 03:23:46.496727,0.5700000000000001,0.94,0.0,0.20135425223925973,18.0,2.0,453.0,1.0,4.0,0.78,COMPLETE
69,69,0.8270479146281801,2020-11-29 08:13:40.942718,2020-11-29 12:44:47.332355,0 days 04:31:06.389637,0.83,0.92,0.0,0.2107550908812979,18.0,0.0,446.0,1.0,4.0,0.77,COMPLETE
70,70,0.826659582925636,2020-11-29 08:22:47.973808,2020-11-29 12:02:31.544901,0 days 03:39:43.571093,0.6,0.84,0.0,0.1859805660941113,18.0,2.0,449.0,1.0,4.0,0.76,COMPLETE
71,71,,2020-11-29 09:27:30.041386,,,,,,,,,,,,,RUNNING
72,72,,2020-11-29 09:31:22.802530,,,,,,,,,,,,,RUNNING
73,73,,2020-11-29 09:36:37.087808,,,,,,,,,,,,,RUNNING
74,74,0.8286119434931507,2020-11-29 10:38:21.256188,2020-11-29 15:28:20.699941,0 days 04:49:59.443753,0.59,0.92,0.0,0.18465924521759633,17.0,0.0,450.0,1.0,4.0,0.76,COMPLETE
75,75,,2020-11-29 11:06:26.007725,,,,,,,,,,,,,RUNNING
76,76,,2020-11-29 11:30:06.481684,,,,,,,,,,,,,RUNNING
77,77,,2020-11-29 11:30:29.327676,,,,,,,,,,,,,RUNNING
78,78,,2020-11-29 11:40:12.043843,,,,,,,,,,,,,RUNNING
79,79,,2020-11-29 11:41:54.227742,,,,,,,,,,,,,RUNNING
80,80,,2020-11-29 12:02:32.995040,,,,,,,,,,,,,RUNNING
81,81,,2020-11-29 12:18:41.431152,,,,,,,,,,,,,RUNNING
82,82,,2020-11-29 12:44:49.104118,,,,,,,,,,,,,RUNNING
83,83,,2020-11-29 12:56:21.791354,,,,,,,,,,,,,RUNNING
84,84,,2020-11-29 13:08:45.675835,,,,,,,,,,,,,RUNNING
85,85,,2020-11-29 14:55:49.284144,,,,,,,,,,,,,RUNNING
86,86,,2020-11-29 15:28:21.567182,,,,,,,,,,,,,RUNNING
87,87,,2020-11-29 16:58:45.460317,,,,,,,,,,,,,RUNNING
