,number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
30,30,0.8158000779937196,2020-11-24 12:18:59.461136,2020-11-24 14:28:32.046176,0 days 02:09:32.585040000,0.91,0.6799999999999999,5,0.039079255064601456,12,5,313,4,5,0.5,COMPLETE
31,31,0.8184812711141601,2020-11-24 12:20:17.393743,2020-11-24 15:55:04.314085,0 days 03:34:46.920342000,0.97,0.7,4,0.2937579732732259,10,4,353,0,5,0.99,COMPLETE
32,32,0.8121015424752009,2020-11-24 12:27:12.234911,2020-11-24 14:35:20.549336,0 days 02:08:08.314425000,0.85,0.67,4,0.34505231133817826,10,4,342,0,1,0.5,COMPLETE
33,33,0.8192237009374704,2020-11-24 12:41:15.738446,2020-11-24 15:27:49.191188,0 days 02:46:33.452742000,0.97,0.66,4,0.033211275245692465,16,4,344,0,5,0.51,COMPLETE
34,34,0.821899494812975,2020-11-24 12:43:14.803208,2020-11-24 15:11:42.792397,0 days 02:28:27.989189000,0.99,0.66,4,0.03106420441611201,16,4,310,0,5,0.5,COMPLETE
35,35,0.8153164329111592,2020-11-24 13:31:10.256484,2020-11-24 16:23:48.555619,0 days 02:52:38.299135000,0.88,0.66,4,0.03096846748431624,25,4,360,4,5,0.5,COMPLETE
36,36,0.8150612086613036,2020-11-24 13:54:06.862598,2020-11-24 16:48:29.099769,0 days 02:54:22.237171000,0.93,0.65,4,0.031717234119429054,15,4,331,4,5,0.5700000000000001,COMPLETE
37,37,0.8206757907948828,2020-11-24 13:55:27.581456,2020-11-24 16:29:44.103371,0 days 02:34:16.521915000,0.99,0.65,3,0.032730575067440024,16,4,294,4,1,0.56,COMPLETE
38,38,0.8218875591240853,2020-11-24 14:08:28.760190,2020-11-25 00:22:58.560971,0 days 10:14:29.800781000,0.99,0.66,3,0.03262805479488759,16,4,997,4,1,0.97,COMPLETE
39,39,0.8221290381208224,2020-11-24 14:15:45.611081,2020-11-24 18:02:59.742633,0 days 03:47:14.131552000,0.94,0.65,3,0.035436042115808336,16,4,310,3,1,0.99,COMPLETE
40,40,0.8187197683542669,2020-11-24 14:28:33.008446,2020-11-24 17:39:41.356089,0 days 03:11:08.347643000,0.86,0.62,3,0.10782099753620476,25,4,280,3,1,0.99,COMPLETE
41,41,0.8196888182803782,2020-11-24 14:29:08.486524,2020-11-24 17:07:43.994496,0 days 02:38:35.507972000,0.84,0.6,3,0.09816342195661212,16,4,247,3,1,0.96,COMPLETE
42,42,0.8189732211500109,2020-11-24 14:35:20.946448,2020-11-24 16:46:49.789801,0 days 02:11:28.843353000,0.79,0.6,3,0.09792455308018921,17,4,265,3,1,0.67,COMPLETE
43,43,0.8253332411945482,2020-11-24 14:52:03.034423,2020-11-24 16:55:06.153997,0 days 02:03:03.119574000,0.59,0.58,3,0.10539948266452356,25,4,270,0,1,0.6799999999999999,COMPLETE
44,44,0.8214105002887166,2020-11-24 15:11:43.433674,2020-11-24 16:08:11.129430,0 days 00:56:27.695756000,0.58,0.5700000000000001,3,0.09531414197737359,25,4,127,1,1,0.64,COMPLETE
45,45,0.8184770528099723,2020-11-24 15:16:33.447585,2020-11-24 16:14:35.739255,0 days 00:58:02.291670000,0.6,0.59,3,0.018100097980158273,25,4,103,0,1,0.67,COMPLETE
46,46,0.8209220668300719,2020-11-24 15:27:50.416364,2020-11-24 16:34:04.288621,0 days 01:06:13.872257000,0.61,0.58,1,0.02069026516283861,24,2,107,1,1,0.66,COMPLETE
47,47,0.8226490925625154,2020-11-24 15:36:21.969708,2020-11-24 20:02:40.253468,0 days 04:26:18.283760000,0.19,0.38,3,0.02004002426876821,25,2,976,1,1,0.9299999999999999,COMPLETE
48,48,0.8243379754198747,2020-11-24 15:55:05.654320,2020-11-24 17:18:41.654005,0 days 01:23:35.999685000,0.61,0.58,1,0.02119897670989245,24,2,137,1,1,0.67,COMPLETE
49,49,0.8206787695207597,2020-11-24 16:08:12.271295,2020-11-24 17:30:34.445087,0 days 01:22:22.173792000,0.65,0.5700000000000001,1,0.019445044506252937,25,2,135,1,1,0.6799999999999999,COMPLETE
50,50,0.8267906835244123,2020-11-24 16:14:36.124741,2020-11-24 21:56:19.673563,0 days 05:41:43.548822000,0.67,0.4,1,0.04289161772646523,17,2,997,1,4,0.69,COMPLETE
51,51,0.8250714249799087,2020-11-24 16:23:49.646011,2020-11-24 20:50:38.939480,0 days 04:26:49.293469000,0.52,0.35,1,0.018898813747111148,17,2,970,1,4,0.56,COMPLETE
52,52,0.8221469636539906,2020-11-24 16:29:45.530574,2020-11-24 21:28:40.064125,0 days 04:58:54.533551000,0.53,0.42000000000000004,1,0.02184813747145059,8,2,965,1,4,0.94,COMPLETE
53,53,0.820935809224394,2020-11-24 16:34:04.628128,2020-11-24 22:06:18.542618,0 days 05:32:13.914490000,0.54,0.37,0,0.012733629461224886,18,2,923,1,4,0.94,COMPLETE
54,54,0.822646683822556,2020-11-24 16:46:50.130262,2020-11-24 21:00:42.707160,0 days 04:13:52.576898000,0.69,0.39,0,0.013178465106503936,8,2,964,1,4,0.5700000000000001,COMPLETE
55,55,0.8206799476886903,2020-11-24 16:48:29.725316,2020-11-24 20:18:05.045380,0 days 03:29:35.320064000,0.51,0.4,0,0.04480783516474046,8,2,997,1,4,0.95,COMPLETE
56,56,0.824597368256659,2020-11-24 16:55:07.847275,2020-11-24 22:18:57.710791,0 days 05:23:49.863516000,0.52,0.37,2,0.04649009797963529,23,2,971,1,0,0.78,COMPLETE
57,57,0.8231333221829106,2020-11-24 17:07:45.041502,2020-11-24 19:30:16.155995,0 days 02:22:31.114493000,0.51,0.33,2,0.021857548215481935,18,2,417,1,0,0.7,COMPLETE
